location,animal,user,sn,an,datatype,start,end,startreason,endreason,entct,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur,stdate,sttime
c073,G01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c074,G02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c074,G02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c075,G03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c075,G03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c076,G04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c076,G04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c077,G05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c077,G05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c078,G06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c078,G06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c079,G07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c079,G07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c080,G08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c080,G08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c081,G09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c081,G09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c082,G10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c082,G10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c083,G11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c083,G11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c084,G12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
